"Product","Brand","Category","Subcategory","Verified package size","Unit","Source URL","Setup requirement"
"Drostdy-Hof Premier Grand Cru","Drostdy-Hof","Wines","Dry wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Drostdy-Hof White Sweet","Drostdy-Hof","Wines","Sweet wine","750ml","bottle","https://nairobidrinks.co.ke/wine/","Owner prices, tax, barcode and stock required"
"Four Cousins Natural Sweet Red","Four Cousins","Wines","Red wine","750ml","bottle","https://www.oaks.delivery/product/four-cousins-sweet-red-75cl/","Owner prices, tax, barcode and stock required"
"Four Cousins Natural Sweet Red","Four Cousins","Wines","Red wine","1.5L","bottle","https://www.oaks.delivery/product/four-cousins-sweet-red-75cl/","Owner prices, tax, barcode and stock required"
"Mucho Más Black Edition","Mucho Más","Wines","Red wine","750ml","bottle","https://www.oaks.delivery/c/wine/","Owner prices, tax, barcode and stock required"
"Signore Giuseppe Prosecco Spumante White","Signore Giuseppe","Wines","Sparkling wine","750ml","bottle","https://www.oaks.delivery/c/wine/","Owner prices, tax, barcode and stock required"
"Tusker Lager","Tusker","Beer & Cider","Lager","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Tusker Malt","Tusker","Beer & Cider","Malt beer","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Tusker Lite","Tusker","Beer & Cider","Light beer","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Tusker Premium Apple Cider","Tusker","Beer & Cider","Cider","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"White Cap Lager","White Cap","Beer & Cider","Lager","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"White Cap Crisp","White Cap","Beer & Cider","Lager","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Pilsner Lager","Pilsner","Beer & Cider","Lager","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Guinness Foreign Extra Stout","Guinness","Beer & Cider","Stout","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Balozi Lager","Balozi","Beer & Cider","Lager","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Savanna Dry Cider","Savanna","Beer & Cider","Cider","330ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Savanna Angry Lemon Cider","Savanna","Beer & Cider","Cider","330ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Hunter's Dry Apple Cider","Hunter's","Beer & Cider","Cider","330ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Snapp Apple","Snapp","Beer & Cider","Alcopops","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Bila Shaka Capitan Lager","Bila Shaka","Beer & Cider","Craft beer","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Manyatta Pineapple & Mint Cider","Manyatta","Beer & Cider","Cider","300ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"KO Lime & Ginger Cider","Kenyan Originals","Beer & Cider","Cider","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"KO Pineapple & Mint Cider","Kenyan Originals","Beer & Cider","Cider","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"KO Honey & Lemon Cider","Kenyan Originals","Beer & Cider","Cider","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Heineken Lager 6-pack","Heineken","Beer & Cider","Lager","6 × 330ml","pack","https://www.carrefour.ke/mafken/en/c/FKEN21040000","Owner prices, tax, barcode and stock required"
"Coca-Cola Original","Coca-Cola","Soft Drinks","Cola","350ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Coca-Cola Original","Coca-Cola","Soft Drinks","Cola","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Coca-Cola Original","Coca-Cola","Soft Drinks","Cola","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Coca-Cola Zero Sugar","Coca-Cola","Soft Drinks","Cola","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Coca-Cola Zero Sugar","Coca-Cola","Soft Drinks","Cola","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Fanta Orange","Fanta","Soft Drinks","Orange soda","350ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Fanta Orange","Fanta","Soft Drinks","Orange soda","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Fanta Blackcurrant","Fanta","Soft Drinks","Other flavours","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Fanta Passion","Fanta","Soft Drinks","Other flavours","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Fanta Passion","Fanta","Soft Drinks","Other flavours","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Sprite","Sprite","Soft Drinks","Lemon-lime","350ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Sprite","Sprite","Soft Drinks","Lemon-lime","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Stoney Tangawizi","Stoney","Soft Drinks","Ginger soda","350ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Pepsi Cola","Pepsi","Soft Drinks","Cola","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Pepsi Max","Pepsi","Soft Drinks","Cola","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Mirinda Lemon","Mirinda","Soft Drinks","Other flavours","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"7UP","7UP","Soft Drinks","Lemon-lime","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Mountain Dew","Mountain Dew","Soft Drinks","Other flavours","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Alvaro Malt Drink","Alvaro","Soft Drinks","Malt drinks","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Savanah Cocopine","Savanah","Soft Drinks","Juice","2L","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Red Bull Energy Drink","Red Bull","Energy Drinks","Energy drinks","250ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Red Bull Watermelon","Red Bull","Energy Drinks","Energy drinks","250ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Monster Energy Original","Monster","Energy Drinks","Energy drinks","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Monster Zero Ultra","Monster","Energy Drinks","Energy drinks","500ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Lucozade Boost","Lucozade","Energy Drinks","Energy drinks","250ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Reload Lemon Isotonic","Reload","Energy Drinks","Sports drinks","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Reload Orange Isotonic","Reload","Energy Drinks","Sports drinks","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Schweppes Tonic Water","Schweppes","Mixers","Tonic","330ml","can","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Schweppes Tonic Water","Schweppes","Mixers","Tonic","500ml","bottle","https://www.carrefour.ke/mafken/en/c/FKEN1550000","Owner prices, tax, barcode and stock required"
"Schweppes Ginger Ale","Schweppes","Mixers","Ginger ale","330ml","can","https://www.carrefour.ke/mafken/en/tonic-soda-water/schweppes-tonic-water-ginger330ml/p/178181","Owner prices, tax, barcode and stock required"
"Dasani Drinking Water","Dasani","Water","Bottled water","500ml","bottle","https://alladin.co.ke/alcoholic-beverages-cigarettes/drinks/water","Owner prices, tax, barcode and stock required"
"Keringet Sparkling Water","Keringet","Water","Sparkling water","500ml","bottle","https://alladin.co.ke/alcoholic-beverages-cigarettes/drinks/water","Owner prices, tax, barcode and stock required"
"Dasani Drinking Water","Dasani","Water","Bottled water","1.5L","bottle","https://www.tawalasupermarket.co.ke/water/154-dasani-mineral-water-15l-1000010000254.html","Owner prices, tax, barcode and stock required"
"Keringet Natural Mineral Water 6-pack","Keringet","Water","Mineral water","6 × 500ml","pack","https://www.tawalasupermarket.co.ke/water/154-dasani-mineral-water-15l-1000010000254.html","Owner prices, tax, barcode and stock required"
"Keringet Sparkling Water","Keringet","Water","Sparkling water","1L","bottle","https://www.tawalasupermarket.co.ke/water/154-dasani-mineral-water-15l-1000010000254.html","Owner prices, tax, barcode and stock required"
"Aquamist Mango Flavoured Water","Aquamist","Water","Bottled water","500ml","bottle","https://www.tawalasupermarket.co.ke/water/154-dasani-mineral-water-15l-1000010000254.html","Owner prices, tax, barcode and stock required"
"Quencher Drinking Water","Quencher","Water","Bottled water","10L","bottle","https://www.tawalasupermarket.co.ke/water/154-dasani-mineral-water-15l-1000010000254.html","Owner prices, tax, barcode and stock required"
"Tropical Heat Salted Potato Crisps","Tropical Heat","Snacks & Accessories","Snacks","50g","bag","https://www.carrefour.ke/mafken/en/chips/trop-heat-crisps-salted-50g/p/32275","Owner prices, tax, barcode and stock required"
"Tropical Heat Chilli Lemon Potato Crisps","Tropical Heat","Snacks & Accessories","Snacks","50g","bag","https://www.carrefour.ke/mafken/en/c/FKEN1730200","Owner prices, tax, barcode and stock required"
"Homezaza Mini Bottle Opener DH1839","Homezaza","Snacks & Accessories","Bottle openers","","unit","https://www.carrefour.ke/mafken/en/c/NFKEN8090909","Package confirmation, owner prices, tax, barcode and stock required"
