Requirement,Existing,Verified,Gap,Action,Status
R05 Catalogue: Spirits / Tequila,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Liqueurs,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Cream liqueurs,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Local spirits,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Spirits / Imported spirits,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Red wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / White wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Rosé,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Sparkling wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Sweet wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Dry wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Wines / Fortified wine,Yes,catalogue.ts and 140-row evidence register,Physical packages are not certified by source links,Retained sourced candidates; did not invent sizes or variants,Present; owner confirmation required
R05 Catalogue: Beer & Cider,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
R05 Catalogue: Soda / Soft Drinks,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
R05 Catalogue: Water,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
R05 Catalogue: Energy Drinks,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
R05 Catalogue: Mixers,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
R05 Catalogue: Snacks / Accessories,Yes,catalogue tests and CATALOGUE_SECOND_PASS.csv,Source access does not prove every package; one accessory size missing,"18 sources checked: 16 accessible, 1 HTTP 404, 1 unavailable; explicit unverified-field labelling",Present; owner confirmation required
"R05 No fabricated prices, barcodes, packages or suppliers",Yes,"Main 140 listings; no configured prices, no stock; source review",Historical links are not independent verification,No new product variants or prices seeded; preserve original values and mark uncertainty,Verified seed controls
R06 Pricing: Nullable buying / retail / wholesale / promotional prices,Yes,catalogue/sales tests; full browser journey,No replacement pricing engine required,Reused versioned price history and manual pricing; tested unchanged historical costs,Verified
"R06 Pricing: Previous/new price, actor, timestamp and reason",Yes,catalogue/sales tests; full browser journey,No replacement pricing engine required,Reused versioned price history and manual pricing; tested unchanged historical costs,Verified
R06 Pricing: Historical charged price / recorded cost retained,Yes,catalogue/sales tests; full browser journey,No replacement pricing engine required,Reused versioned price history and manual pricing; tested unchanged historical costs,Verified
R06 Pricing: Bulk manual sheet and staged CSV/TSV import,Yes,catalogue/sales tests; full browser journey,No replacement pricing engine required,Reused versioned price history and manual pricing; tested unchanged historical costs,Verified
R07 Inventory flow: Opening stock,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Purchase receipt,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Approved positive adjustment,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Approved customer return / restock,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Sale deduction,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Approved wastage/damage,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Approved negative adjustment,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
R07 Inventory flow: Approved supplier return,Yes,inventory/approvals/second-pass-accounting/VAT/API tests,Zero-money partial restock and invoice correction edges,Extended the existing movement ledger; preserved integer quantities and WAC,Verified / hardened
"R07 Product, quantity, previous/new balance, actor, time, reason and ref",Yes,"schema, movement tests, stronger integrity checker",REPLACE and source-to-ledger reconciliation gaps,Recursive immutable guards; exact balance/version/source checks,Fixed and verified
R08 POS: Product/brand search,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Barcode input,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: SKU lookup,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Quantity changes,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Authorised discounts,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Cash / change,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: M-Pesa,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Card,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Bank,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Mixed tenders,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Unique reference,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Atomic stock deduction,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Balanced journal,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: PDF receipt,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 POS: Sale → report → audit,Yes,sales/API tests; browser cash/split/Card/Bank and keyboard-alias scenarios,Aliases and ambiguous scan selection required hardening,"Reused POS/quote engine; preserved aliases, deterministic scan resolution and standard print formats",Verified software; hardware/provider limits apply
R08 Idempotency / lost-response recovery,Yes,client-api/recovery-extensions/hardening/browser response-loss tests,"Non-POS, legacy body-less intents and wrong JSON confirmations not fully handled",Extended one existing recovery mechanism and safe key cancellation; branch-scoped replay,Fixed and verified
R10 Expenses: Category / amount / date / method / payee / description,Yes,"API accountant journey, VAT and upload tests",Recoverable tax was not separated from expense cost,Added optional explicit input-tax claim; retained original gross movement and independent corrections,Verified; tax deductibility is manual
R10 Expenses: Supporting evidence and staff attribution,Yes,"API accountant journey, VAT and upload tests",Recoverable tax was not separated from expense cost,Added optional explicit input-tax claim; retained original gross movement and independent corrections,Verified; tax deductibility is manual
R10 Expenses: Audit and immutable original,Yes,"API accountant journey, VAT and upload tests",Recoverable tax was not separated from expense cost,Added optional explicit input-tax claim; retained original gross movement and independent corrections,Verified; tax deductibility is manual
R10 Expenses: Correction and replacement,Yes,"API accountant journey, VAT and upload tests",Recoverable tax was not separated from expense cost,Added optional explicit input-tax claim; retained original gross movement and independent corrections,Verified; tax deductibility is manual
R10 Expenses: Gross payment versus recoverable input VAT,Partial,"API accountant journey, VAT and upload tests",Recoverable tax was not separated from expense cost,Added optional explicit input-tax claim; retained original gross movement and independent corrections,Verified; tax deductibility is manual
R11 Cash / closing: Opening + net cash sales − expenses − supplier outflows,Yes,expenses/approvals/API/browser tests,Normalised register uniqueness; source reconciliation and date scoping improved,Reused existing sessions/closing; no re-opening or rewriting of posted sessions,Verified
R11 Cash / closing: Actual count versus expected,Yes,expenses/approvals/API/browser tests,Normalised register uniqueness; source reconciliation and date scoping improved,Reused existing sessions/closing; no re-opening or rewriting of posted sessions,Verified
R11 Cash / closing: Surplus / shortage / variance / explanation,Yes,expenses/approvals/API/browser tests,Normalised register uniqueness; source reconciliation and date scoping improved,Reused existing sessions/closing; no re-opening or rewriting of posted sessions,Verified
R11 Cash / closing: Independent reviewer,Yes,expenses/approvals/API/browser tests,Normalised register uniqueness; source reconciliation and date scoping improved,Reused existing sessions/closing; no re-opening or rewriting of posted sessions,Verified
R11 Cash / closing: Immutable closing and later linked count correction,Yes,expenses/approvals/API/browser tests,Normalised register uniqueness; source reconciliation and date scoping improved,Reused existing sessions/closing; no re-opening or rewriting of posted sessions,Verified
R12 Dashboard: Today,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Yesterday,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: This week,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: This month,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Custom date range,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Revenue,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Recorded COGS,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Gross profit,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Gross margin,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Expenses,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Net operating result,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Transactions / average transaction,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Current stock value,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Low / out-of-stock,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Pending approvals,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Best sellers,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Slow movers,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Highest revenue,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Highest margin,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Dashboard: Declining products,Yes (API); partial UI,analytics tests; dashboard browser controls,Several existing projections were not visible / were mislabelled,Exposed existing datasets and selected-period metrics; distinguish current stock from period flows,Fixed and verified
R12 Staff performance: Staff sales/revenue/count/average,Yes,api-completion + branch-scoping tests,Some counts mixed branch/date or omitted request types,Scoped all projections; distinguish gross entered expense and received/posted activity,Fixed and verified
R12 Staff performance: Discounts and correction requests,Yes,api-completion + branch-scoping tests,Some counts mixed branch/date or omitted request types,Scoped all projections; distinguish gross entered expense and received/posted activity,Fixed and verified
R12 Staff performance: Expenses entered,Yes,api-completion + branch-scoping tests,Some counts mixed branch/date or omitted request types,Scoped all projections; distinguish gross entered expense and received/posted activity,Fixed and verified
R12 Staff performance: Stock requests / receipts / posted activity,Yes,api-completion + branch-scoping tests,Some counts mixed branch/date or omitted request types,Scoped all projections; distinguish gross entered expense and received/posted activity,Fixed and verified
R12 Staff performance: Reconciliation status and human-review disclaimer,Yes,api-completion + branch-scoping tests,Some counts mixed branch/date or omitted request types,Scoped all projections; distinguish gross entered expense and received/posted activity,Fixed and verified
R13 Report: Sales,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Profit,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Inventory,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Purchases,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Expenses,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Payments,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Staff,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Approvals,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Audit,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Report: Journal,Yes,API report permission/CSV/PDF loop; reports/VAT tests,"Unknown filters, non-additive totals, payment sources, decision/audit detail",Hardened existing report engine; full money movement sources and VAT-aware columns,Verified
R13 Appropriate filters; no unauthorised export leakage,Yes,API report loop and cross-tenant/role tests,Unknown parameters were ignored,Strict filter recognition and applicable-filter checks; per-report permissions,Fixed and verified
R14 Security: Authentication / session expiry,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Password hashing / rotation / revocation,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: CSRF / origin,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Rate limiting / expired lockout,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Server RBAC,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Cross-user IDOR,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Cross-tenant scope,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Branch reassignment / replay,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Body privilege/price/scope tampering,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Approval payload/status tampering,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Audit / inventory / financial mutation,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
R14 Security: Upload type/size/purpose/ownership,Yes,foundation/hardening/api-completion/second-pass-security/client/recovery tests; real browser XSS/HTTPS,Targeted gaps were reproduced,"Closed scoped findings; scrypt-v2 with legacy rehash, stronger limits and append-only checks",Verified engineering controls; not an external pentest
